,filename,tsneX,tsneY,pcaX,pcaY,umapX,umapY,isoX,isoY,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20,duration,phone_position,script,loudness,distress,zero_crossing,harmonics,pauses,max_intensity,intensity,pitch,pitch_range,shimmer,jitter,spectral_slope,mean_mfcc,spectral_rolloff,energy,speechrate,affect
0,shout_data_0011b53d-d81a-4013-bcce-885f54da2129/final/chunk03.wav,7.5495834,71.93175,-60.79421762,-37.02012559,-76.96924,8.833656,-61.40203125,6.006357617,1,black,blue,blue,green,red,purple,yellow,red,yellow,3.125034014,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,another dog secretary show,Shouting,Distressed,0.121299913,9.729704055,0.091,108.5520801,78.26943226,287.3394936,442.5148224,0.113734657,0.015428827,-0.109506681,-21.555256,1463.923848,0.082276793,3.2,anger
1,shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126/final/chunk11.wav,66.57645,46.089394,-70.25655311,-31.13850118,-72.665924,68.137695,-71.7562098,15.91035572,1,black,blue,blue,green,red,purple,purple,brown,black,2.929024943,Place phone 1-2 meters away face up on any surface 8/19,join the Ear Look club,Shouting,Distressed,0.079186147,15.84947046,0.25075,102.3394671,67.73441221,369.6892716,357.8562009,0.087015628,0.015276304,-0.01260385,-26.15754,929.6590909,0.00681865,2.389894162,neutral
2,shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126/final/chunk31.wav,70.9995,42.38694,-72.38435751,-27.65962588,-70.62874,73.63077,-73.60282868,14.12231286,1,black,blue,blue,green,red,purple,purple,brown,blue,2.44,Place phone 1-2 meters away face up on any surface 8/19,join the Ear Look club,Talking,Not Distressed,0.065964033,13.62895657,0.21475,97.38152695,66.64013621,317.6386905,375.2174178,0.12053378,0.021115237,-0.010991255,-24.412771,810.2824782,0.004399088,2.459016393,neutral
3,shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f/final/chunk20.wav,-48.985348,40.85781,-51.26411134,-24.50933927,-28.82975,-41.963432,-49.96894129,-1.094573197,1,black,blue,blue,blue,green,blue,teal,green,teal,2.618004535,Place phone on the opposite side of the room face up on any surface 12/19,ripped ocean jumper,Shouting,Not Distressed,0.154893183,7.140529861,0.166,101.9354038,70.21017313,430.9682013,289.1330939,0.165811974,0.029358676,-0.021399863,-21.036295,1999.237805,0.010746825,2.673796791,joy
4,shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f/final/chunk21.wav,-62.761482,43.450737,-49.93090858,-61.7396227,-19.511974,-42.40607,-47.78138846,5.932964561,1,black,blue,blue,blue,green,blue,teal,green,teal,3.107029478,Place phone on the opposite side of the room face up on any surface 12/19,ripped ocean jumper,Shouting,Not Distressed,0.158716913,7.471456773,0.2145,105.5208728,71.07766558,415.5196226,479.1778375,0.185462597,0.041402796,-0.020145038,-22.68026,2075.021404,0.015625765,2.574831027,joy
5,shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9/final/chunk21.wav,22.094185,-57.153427,-13.39972486,-66.83060944,74.99368,17.064964,-7.960916423,-3.409009427,1,black,green,yellow,yellow,purple,green,red,purple,orange,2.717006803,Hold your phone next to your face with your hand covering the mic 3/19,wolf ring lights are fantastic,Shouting,Distressed,0.201176013,11.61890124,0.1182,108.7736982,77.53107432,492.6692183,459.9092849,0.123171747,0.019431648,-0.082464076,-20.971563,4132.996324,0.060172276,2.576370997,fear
6,shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9/final/chunk31.wav,14.126701,-67.7559,-19.50259798,2.362695772,73.90907,0.551178,-14.5239463,-15.35099149,1,black,green,green,yellow,purple,green,red,purple,purple,2.419002268,Hold your phone next to your face with your hand covering the mic 3/19,wolf ring lights are fantastic,Talking,Distressed,0.224237351,17.13010911,0.1606,102.7638305,70.32418177,333.3881432,230.5756365,0.083342187,0.016151606,-0.018526403,-26.958076,3789.957324,0.010171411,2.480363787,fear
7,shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd/final/chunk51.wav,-17.597687,31.748634,-53.94013806,1.144044185,-54.948395,-36.114544,-53.86348227,-1.118733013,1,black,blue,blue,blue,green,blue,yellow,green,blue,3.023038549,Place your phone in a bag and hold it next to your hip 7/19,snow meteor down the chimney,Shouting,Not Distressed,0.153040762,18.87325842,0.3605,105.6353868,68.76713554,320.5639117,237.9320209,0.063131066,0.008277668,-0.014042953,-27.094763,1849.334287,0.008913738,2.64637777,joy
8,shout_data_0144184a-7445-4c93-8bef-d24273d8bd26/final/chunk31.wav,-50.568146,-3.5571976,-45.22300887,23.7228301,-7.312683,-73.28127,-44.15845604,-27.47874042,1,black,blue,green,blue,green,orange,teal,teal,purple,2.614013605,Place phone 1-2 meters away face down on a hard surface 9/19,zebra cats walking on lamps,Shouting,Distressed,0.185049952,9.149636806,0.14975,106.3432352,72.52214312,362.439614,102.9965314,0.144528695,0.016271797,-0.023911322,-24.941685,2339.84375,0.018246488,1.912777353,fear
9,shout_data_0164bbe9-ac5c-4aaf-8b01-2e2c1b570286/final/chunk01.wav,-57.40027,7.4008255,-46.95459872,-1.644856506,-16.035404,-64.94501,-45.49016569,-8.425350348,1,black,blue,green,blue,green,orange,teal,teal,orange,2.445034014,Place phone on the opposite side of the room face down on a hard surface 13/19,banana and mustard sandwiches,Shouting,Not Distressed,0.16604787,15.97611326,0.165,103.6660204,70.44962389,337.154913,241.8334593,0.076783126,0.014876596,-0.019549655,-21.758984,2242.866848,0.010575582,2.45398773,neutral
