filename,duration,analyse_zero_crossing,analyse_harmonics,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,analyse_mfcc,mean_spectral_rolloff,get_energy,speechrate(nsyll / dur),phone_position,script,loudness,distress,affect
shout_data_0011b53d-d81a-4013-bcce-885f54da2129/final/chunk03.wav,3.125034014,0.121299913,9.729704055,0.091,108.5520801,78.26943226,287.3394936,442.5148224,0.113734657,0.015428827,-0.109506681,-21.555256,1463.923848,0.082276793,3.2,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,another dog secretary show,Shouting,Distressed,anger
shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126/final/chunk11.wav,2.929024943,0.079186147,15.84947046,0.25075,102.3394671,67.73441221,369.6892716,357.8562009,0.087015628,0.015276304,-0.01260385,-26.15754,929.6590909,0.00681865,2.389894162,Place phone 1-2 meters away face up on any surface 8/19,join the Ear Look club,Shouting,Distressed,neutral
shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126/final/chunk31.wav,2.44,0.065964033,13.62895657,0.21475,97.38152695,66.64013621,317.6386905,375.2174178,0.12053378,0.021115237,-0.010991255,-24.412771,810.2824782,0.004399088,2.459016393,Place phone 1-2 meters away face up on any surface 8/19,join the Ear Look club,Talking,Not Distressed,neutral
shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f/final/chunk20.wav,2.618004535,0.154893183,7.140529861,0.166,101.9354038,70.21017313,430.9682013,289.1330939,0.165811974,0.029358676,-0.021399863,-21.036295,1999.237805,0.010746825,2.673796791,Place phone on the opposite side of the room face up on any surface 12/19,ripped ocean jumper,Shouting,Not Distressed,joy
shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f/final/chunk21.wav,3.107029478,0.158716913,7.471456773,0.2145,105.5208728,71.07766558,415.5196226,479.1778375,0.185462597,0.041402796,-0.020145038,-22.68026,2075.021404,0.015625765,2.574831027,Place phone on the opposite side of the room face up on any surface 12/19,ripped ocean jumper,Shouting,Not Distressed,joy
shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9/final/chunk21.wav,2.717006803,0.201176013,11.61890124,0.1182,108.7736982,77.53107432,492.6692183,459.9092849,0.123171747,0.019431648,-0.082464076,-20.971563,4132.996324,0.060172276,2.576370997,Hold your phone next to your face with your hand covering the mic 3/19,wolf ring lights are fantastic,Shouting,Distressed,fear
shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9/final/chunk31.wav,2.419002268,0.224237351,17.13010911,0.1606,102.7638305,70.32418177,333.3881432,230.5756365,0.083342187,0.016151606,-0.018526403,-26.958076,3789.957324,0.010171411,2.480363787,Hold your phone next to your face with your hand covering the mic 3/19,wolf ring lights are fantastic,Talking,Distressed,fear
shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd/final/chunk51.wav,3.023038549,0.153040762,18.87325842,0.3605,105.6353868,68.76713554,320.5639117,237.9320209,0.063131066,0.008277668,-0.014042953,-27.094763,1849.334287,0.008913738,2.64637777,Place your phone in a bag and hold it next to your hip 7/19,snow meteor down the chimney,Shouting,Not Distressed,joy
shout_data_0144184a-7445-4c93-8bef-d24273d8bd26/final/chunk31.wav,2.614013605,0.185049952,9.149636806,0.14975,106.3432352,72.52214312,362.439614,102.9965314,0.144528695,0.016271797,-0.023911322,-24.941685,2339.84375,0.018246488,1.912777353,Place phone 1-2 meters away face down on a hard surface 9/19,zebra cats walking on lamps,Shouting,Distressed,fear
shout_data_0164bbe9-ac5c-4aaf-8b01-2e2c1b570286/final/chunk01.wav,2.445034014,0.16604787,15.97611326,0.165,103.6660204,70.44962389,337.154913,241.8334593,0.076783126,0.014876596,-0.019549655,-21.758984,2242.866848,0.010575582,2.45398773,Place phone on the opposite side of the room face down on a hard surface 13/19,banana and mustard sandwiches,Shouting,Not Distressed,neutral
shout_data_0164bbe9-ac5c-4aaf-8b01-2e2c1b570286/final/chunk11.wav,2.979002268,0.19109587,17.14338017,0.119,107.5883281,72.83842983,472.8035444,314.3905111,0.102356293,0.012654851,-0.025300067,-23.793865,2351.450893,0.022453228,3.021148036,Place phone on the opposite side of the room face down on a hard surface 13/19,banana and mustard sandwiches,Shouting,Not Distressed,neutral
shout_data_01afa134-3b39-497a-ba65-5a63dfe4b682/final/chunk00.wav,3.390022676,0.136698684,7.17589057,0.1374,104.3256879,69.74079517,433.2781299,318.7694866,0.161039089,0.028727249,-0.013235802,-21.747963,1665.757665,0.012539655,2.359882006,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,fluffy baseboard yogurt division,Shouting,Distressed,joy
shout_data_01afa134-3b39-497a-ba65-5a63dfe4b682/final/chunk21.wav,2.846031746,0.095540365,8.236673292,0.1354,96.5113054,63.56056453,253.294331,188.0839919,0.174819806,0.037097085,-0.004182775,-18.704594,1179.424157,0.002529157,3.513703443,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,fluffy baseboard yogurt division,Talking,Not Distressed,joy
shout_data_01c2b010-e051-4f96-90df-cd5833e0f027/final/chunk11.wav,2.243038549,0.152993114,4.918571702,0.113,105.6632981,72.62185876,125.2660716,55.63347672,0.156278853,0.036403478,-0.041987972,-18.252617,1879.443128,0.015975835,3.12082033,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,the thunder break craze,Talking,Distressed,fear
shout_data_01c2b010-e051-4f96-90df-cd5833e0f027/final/chunk21.wav,2.090022676,0.168827266,6.808834831,0.104333333,109.6250696,78.48161189,242.6252206,193.7097686,0.111466623,0.023394139,-0.154433322,-18.18484,2255.859375,0.057300122,2.870813397,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,the thunder break craze,Shouting,Distressed,fear
